what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677774000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677792265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677796808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677805900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677867927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677873848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677876142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677877383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677878913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677887093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677897716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677904352
error,log,,,"Designer [0.9.0.r37x201105251325.201105290957]: org.eclipse.wb.internal.swing.FormLayout.model.FormLayoutInfo cannot be cast to org.eclipse.wb.internal.swing.model.layout.gbl.AbstractGridBagLayoutInfo",1306677908038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306677916595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677940230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677941495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677954417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677961966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677973688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677977522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677979518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677985013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677988033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306677990069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678021105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678021122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678043217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678052227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678054962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678075906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306678081251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306678092157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678092179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678092396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678165297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678165313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678229398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678233183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678243498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678248590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678256960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678266751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678273129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678276870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678314059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678320785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678348037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678352773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678355455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678356832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678361815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678365410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306678393011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678393037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678393223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678405240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678405255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306678434062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678505825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678516146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678534713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678540234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306678553718
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1306678597488
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1306678597525
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1306678597576
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1306678597578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678622713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678622897
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1306678636037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306678636041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306678636641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306678638624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678640385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678640720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306678658011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306678660985
